id,Category,State/UT,Year,No Education - Male,No Education - Female,No Education - Transgender,No Education - Total,Primary (up to class-5th) - Male,Primary (up to class-5th) - Female,Primary (up to class-5th) - Transgender,Primary (up to class-5th) - Total,Middle (up to class-8th) - Male,Middle (up to class-8th) - Female,Middle (up to class-8th) - Transgender,Middle (up to class-8th) - Total,Matriculate/Secondary (up to class-10th) - Male,Matriculate/Secondary (up to class-10th) - Female,Matriculate/Secondary (up to class-10th) - Transgender,Matriculate/Secondary (up to class-10th) - Total,Hr. Secondary/Intermediate/Pre-University (up to class-12th) - Male,Hr. Secondary/Intermediate/Pre-University (up to class-12th) - Female,Hr. Secondary/Intermediate/Pre-University (up to class-12th) - Transgender,Hr. Secondary/Intermediate/Pre-University (up to class-12th) - Total,Diploma/Certificate/ITI - Male,Diploma/Certificate/ITI - Female,Diploma/Certificate/ITI - Transgender,Diploma/Certificate/ITI - Total,Graduate and above - Male,Graduate and above - Female,Graduate and above - Transgender,Graduate and above - Total,Professionals (MBA etc.) - Male,Professionals (MBA etc.) - Female,Professionals (MBA etc.) - Transgender,Professionals (MBA etc.) - Total,Status Not known - Male,Status Not known - Female,Status Not known - Transgender,Status Not known - Total,Total - Male,Total - Female,Total - Transgender,Total - Total
21,State,Punjab,2016,255,53,0,308,137,39,0,176,170,38,0,208,272,57,0,329,155,67,0,222,22,3,0,25,49,27,0,76,1,1,0,2,86,8,0,94,1147,293,0,1440
22,State,Rajasthan,2016,330,232,0,562,503,265,1,769,564,230,0,794,562,198,0,760,374,78,0,452,31,6,0,37,120,38,0,158,5,1,0,6,98,42,0,140,2587,1090,1,3678
23,State,Sikkim,2016,29,17,0,46,55,16,0,71,52,24,0,76,32,16,0,48,13,4,0,17,1,0,0,1,2,1,0,3,0,0,0,0,0,1,0,1,184,79,0,263
24,State,Tamil Nadu,2016,1191,686,1,1878,2556,917,1,3474,2101,1001,1,3103,2337,1146,2,3485,1155,735,0,1890,270,92,0,362,455,315,0,770,61,25,0,86,105,29,0,134,10231,4946,5,15182
25,State,Telangana,2016,1653,1065,1,2719,1112,473,0,1585,1105,381,0,1486,1108,399,0,1507,538,202,0,740,54,10,0,64,157,45,0,202,38,3,0,41,551,123,1,675,6316,2701,2,9019
26,State,Tripura,2016,22,11,0,33,111,48,0,159,159,66,0,225,98,63,0,161,57,32,0,89,0,0,0,0,6,3,0,9,0,0,0,0,1,0,0,1,454,223,0,677
27,State,Uttar Pradesh,2016,339,343,0,682,346,248,0,594,330,268,0,598,351,308,0,659,355,216,0,571,12,6,0,18,133,22,0,155,1,0,0,1,164,76,0,240,2031,1487,0,3518
28,State,Uttarakhand,2016,0,0,0,0,9,3,0,12,20,15,0,35,53,20,0,73,16,8,0,24,1,0,0,1,0,2,0,2,0,0,0,0,0,5,0,5,99,53,0,152
29,State,West Bengal,2016,460,492,0,952,1180,1074,0,2254,1600,1113,0,2713,1469,1128,0,2597,820,413,0,1233,21,3,0,24,225,85,0,310,1,0,0,1,2018,1349,0,3367,7794,5657,0,13451
State,State,Total (States),2016,10954,6709,4,17667,16064,7592,3,23659,17880,7954,1,25835,20006,8945,4,28955,11316,4900,1,16217,1071,336,0,1407,2722,1144,0,3866,223,68,0,291,6585,3446,1,10032,86821,41094,14,127929
30,Union Territory,A & N Islands,2016,0,0,0,0,9,6,0,15,22,8,0,30,42,11,0,53,16,13,0,29,1,2,0,3,3,1,0,4,0,0,0,0,11,1,0,12,104,42,0,146
31,Union Territory,Chandigarh,2016,4,0,0,4,9,2,0,11,9,1,0,10,27,12,0,39,22,13,0,35,0,0,0,0,15,4,0,19,2,0,0,2,3,0,0,3,91,32,0,123
34,Union Territory,Delhi (UT),2016,178,79,0,257,117,68,0,185,196,109,0,305,284,148,0,432,258,120,0,378,18,15,0,33,82,28,0,110,0,0,0,0,348,107,0,455,1481,674,0,2155
35,Union Territory,Lakshadweep,2016,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3
36,Union Territory,Puducherry,2016,66,25,0,91,94,31,0,125,71,21,0,92,58,15,0,73,60,7,0,67,16,3,0,19,25,1,0,26,0,0,0,0,57,11,0,68,447,114,0,561
Union Territory,Union Territory,Total (UTs),2016,252,108,0,360,235,116,0,351,308,145,0,453,430,197,0,627,361,160,0,521,35,20,0,55,127,34,0,161,2,0,0,2,426,123,0,549,2176,903,0,3079
Total (All India),Total (All India),Total (All India),2016,11206,6817,4,18027,16299,7708,3,24010,18188,8099,1,26288,20436,9142,4,29582,11677,5060,1,16738,1106,356,0,1462,2849,1178,0,4027,225,68,0,293,7011,3569,1,10581,88997,41997,14,131008
1,State,Andhra Pradesh,2017,809,344,1,1154,726,421,2,1149,705,257,0,962,617,227,1,845,364,121,0,485,32,11,0,43,136,56,0,192,9,2,0,11,440,73,0,513,3838,1512,4,5354
2,State,Arunachal Pradesh,2017,8,6,0,14,11,2,0,13,2,7,0,9,13,9,0,22,10,3,0,13,0,0,0,0,2,0,0,2,0,0,0,0,13,3,0,16,59,30,0,89
3,State,Assam,2017,331,126,0,457,156,82,0,238,221,87,0,308,307,106,0,413,146,67,0,213,9,7,0,16,59,14,0,73,0,0,0,0,358,200,0,558,1587,689,0,2276
4,State,Bihar,2017,37,37,0,74,11,22,0,33,25,24,0,49,54,31,0,85,42,50,0,92,1,0,0,1,12,12,0,24,9,11,0,20,5,5,0,10,196,192,0,388
5,State,Chhattisgarh,2017,433,285,0,718,1008,430,0,1438,1135,425,0,1560,790,354,0,1144,590,231,0,821,17,3,0,20,90,32,0,122,0,0,0,0,354,135,0,489,4417,1895,0,6312
6,State,Goa,2017,11,9,0,20,15,14,0,29,36,15,0,51,66,23,0,89,42,14,0,56,0,0,0,0,11,7,0,18,0,0,0,0,10,0,0,10,191,82,0,273
7,State,Gujarat,2017,427,351,0,778,946,546,0,1492,1098,648,1,1747,1151,585,0,1736,826,360,0,1186,106,31,0,137,159,52,0,211,11,2,0,13,113,5,0,118,4837,2580,1,7418
8,State,Haryana,2017,510,168,0,678,319,93,0,412,563,101,0,664,640,157,0,797,352,140,0,492,71,16,0,87,112,17,0,129,32,8,0,40,63,25,0,88,2662,725,0,3387
9,State,Himachal Pradesh,2017,23,13,0,36,35,20,0,55,46,34,0,80,125,77,0,202,74,64,0,138,7,9,0,16,14,5,0,19,6,4,0,10,6,14,0,20,336,240,0,576
10,State,Jammu & Kashmir,2017,24,38,0,62,14,12,0,26,37,25,0,62,42,31,0,73,15,25,0,40,0,1,0,1,1,1,0,2,0,0,0,0,16,5,0,21,149,138,0,287
11,State,Jharkhand,2017,54,18,0,72,62,21,0,83,125,44,0,169,335,127,0,462,272,105,0,377,15,7,0,22,19,3,0,22,0,0,0,0,6,1,0,7,888,326,0,1214
12,State,Karnataka,2017,1212,594,1,1807,1745,528,0,2273,1752,661,0,2413,2017,708,0,2725,1166,356,0,1522,82,21,0,103,349,164,0,513,18,11,0,29,221,110,0,331,8562,3153,1,11716
13,State,Kerala,2017,98,44,0,142,788,274,0,1062,1334,340,0,1674,2513,576,0,3089,989,404,0,1393,63,16,0,79,210,93,0,303,14,10,0,24,89,15,0,104,6098,1772,0,7870
14,State,Madhya Pradesh,2017,1401,830,0,2231,1424,882,0,2306,1568,931,0,2499,1539,791,0,2330,1056,715,0,1771,75,19,0,94,255,122,0,377,0,0,0,0,101,61,0,162,7419,4351,0,11770
15,State,Maharashtra,2017,1034,399,1,1434,1954,671,0,2625,2662,930,0,3592,3962,1338,0,5300,2774,853,0,3627,167,31,0,198,512,126,0,638,21,4,0,25,158,49,0,207,13244,4401,1,17646
16,State,Manipur,2017,0,1,0,1,1,1,0,2,5,6,0,11,17,8,0,25,3,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,27,16,0,43
17,State,Meghalaya,2017,2,1,0,3,17,4,0,21,27,8,0,35,21,10,0,31,19,9,0,28,0,0,0,0,2,0,0,2,0,0,0,0,41,4,0,45,129,36,0,165
18,State,Mizoram,2017,0,0,0,0,12,2,0,14,43,10,0,53,18,2,0,20,3,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,76,15,0,91
19,State,Nagaland,2017,0,2,0,2,4,1,0,5,1,1,0,2,4,3,0,7,6,1,0,7,4,0,0,4,4,0,0,4,1,0,0,1,1,0,0,1,25,8,0,33
20,State,Odisha,2017,70,59,0,129,120,84,0,204,161,65,0,226,234,143,0,377,979,1252,0,2231,14,12,0,26,61,28,0,89,2,2,0,4,532,675,0,1207,2173,2320,0,4493
21,State,Punjab,2017,280,62,0,342,135,32,0,167,169,28,0,197,273,80,0,353,165,87,0,252,14,3,0,17,54,23,0,77,4,5,0,9,60,7,0,67,1154,327,0,1481
22,State,Rajasthan,2017,383,227,0,610,531,231,0,762,560,223,0,783,654,180,0,834,282,88,0,370,30,16,0,46,90,29,0,119,10,7,0,17,235,62,0,297,2775,1063,0,3838
23,State,Sikkim,2017,15,7,0,22,36,14,0,50,36,7,0,43,21,9,0,30,14,5,0,19,2,0,0,2,3,0,0,3,0,0,0,0,34,11,0,45,161,53,0,214
24,State,Tamil Nadu,2017,1322,608,1,1931,1659,684,0,2343,2260,941,2,3203,2485,1085,1,3571,1243,757,0,2000,255,67,1,323,513,335,0,848,76,43,1,120,68,52,0,120,9881,4572,6,14459
25,State,Telangana,2017,1617,875,0,2492,769,324,0,1093,684,370,0,1054,1089,452,0,1541,650,219,0,869,75,18,0,93,168,56,0,224,30,6,0,36,184,34,0,218,5266,2354,0,7620
26,State,Tripura,2017,2,7,0,9,140,76,0,216,148,80,0,228,109,50,0,159,43,20,0,63,5,3,0,8,5,1,0,6,1,1,0,2,1,0,0,1,454,238,0,692
27,State,Uttar Pradesh,2017,427,372,0,799,316,252,0,568,373,278,0,651,440,390,0,830,477,332,0,809,51,20,0,71,131,69,0,200,4,2,0,6,335,157,0,492,2554,1872,0,4426
28,State,Uttarakhand,2017,6,3,0,9,13,20,0,33,37,30,0,67,95,43,0,138,26,12,0,38,2,1,0,3,2,1,0,3,1,0,0,1,28,11,0,39,210,121,0,331
29,State,West Bengal,2017,410,306,0,716,1316,793,0,2109,1460,875,0,2335,1330,1200,0,2530,639,372,0,1011,21,14,0,35,118,55,0,173,5,4,0,9,1944,1151,1,3096,7243,4770,1,12014
State,State,Total (States),2017,10946,5792,4,16742,14283,6536,2,20821,17273,7451,3,24727,20961,8795,2,29758,13267,6662,0,19929,1118,327,1,1446,3092,1301,0,4393,255,122,1,378,5416,2865,1,8282,86611,39851,14,126476
30,Union Territory,A & N Islands,2017,2,1,0,3,18,9,0,27,15,8,0,23,25,3,0,28,10,3,0,13,0,0,0,0,5,1,0,6,0,1,0,1,33,5,0,38,108,31,0,139
31,Union Territory,Chandigarh,2017,6,3,0,9,6,2,0,8,17,5,0,22,26,17,0,43,15,5,0,20,0,0,0,0,7,4,0,11,0,0,0,0,0,0,0,0,77,36,0,113
34,Union Territory,Delhi (UT),2017,85,58,2,145,233,88,0,321,254,137,0,391,422,227,0,649,424,130,0,554,29,6,0,35,96,35,0,131,12,6,0,18,139,79,0,218,1694,766,2,2462
35,Union Territory,Lakshadweep,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Union Territory,Puducherry,2017,15,4,0,19,25,3,0,28,9,6,0,15,134,22,0,156,52,21,0,73,44,3,0,47,0,0,0,0,0,0,0,0,171,72,0,243,450,131,0,581
Union Territory,Union Territory,Total (UTs),2017,120,78,2,200,297,107,0,404,305,160,0,465,629,277,0,906,512,165,0,677,73,9,0,82,117,42,0,159,12,7,0,19,343,156,0,499,2408,1001,2,3411
Total (All India),Total (All India),Total (All India),2017,11066,5870,6,16942,14580,6643,2,21225,17578,7611,3,25192,21590,9072,2,30664,13779,6827,0,20606,1191,336,1,1528,3209,1343,0,4552,267,129,1,397,5759,3021,1,8781,89019,40852,16,129887
1,State,Andhra Pradesh,2018,828,452,1,1281,780,372,0,1152,635,234,1,870,649,246,0,895,286,120,0,406,25,3,0,28,170,60,0,230,10,7,0,17,368,72,0,440,3751,1566,2,5319
2,State,Arunachal Pradesh,2018,14,3,0,17,12,5,0,17,20,6,0,26,15,12,0,27,24,4,0,28,1,0,0,1,2,0,0,2,0,0,0,0,8,6,0,14,96,36,0,132
3,State,Assam,2018,332,105,0,437,256,114,0,370,287,149,0,436,290,140,0,430,115,47,0,162,8,10,0,18,33,5,0,38,0,0,0,0,355,133,0,488,1676,703,0,2379
4,State,Bihar,2018,18,27,0,45,16,16,0,32,24,30,0,54,74,60,0,134,79,43,0,122,2,0,0,2,26,4,0,30,19,3,0,22,0,2,0,2,258,185,0,443
5,State,Chhattisgarh,2018,598,341,0,939,1164,436,0,1600,1216,461,0,1677,943,419,0,1362,605,210,0,815,21,5,0,26,115,36,0,151,0,1,0,1,317,158,0,475,4979,2067,0,7046
6,State,Goa,2018,15,8,0,23,20,7,0,27,34,12,0,46,67,16,0,83,36,13,0,49,0,0,0,0,5,3,0,8,1,0,0,1,17,2,0,19,195,61,0,256
7,State,Gujarat,2018,505,319,0,824,1043,604,0,1647,1124,568,0,1692,1323,584,0,1907,835,395,0,1230,55,8,0,63,142,51,0,193,6,2,0,8,177,52,0,229,5210,2583,0,7793
8,State,Haryana,2018,352,126,0,478,375,126,0,501,626,126,0,752,644,162,0,806,434,114,0,548,87,20,0,107,72,19,0,91,20,5,0,25,172,67,0,239,2782,765,0,3547
9,State,Himachal Pradesh,2018,29,15,0,44,72,33,0,105,117,55,0,172,149,71,0,220,77,53,0,130,5,2,0,7,19,11,0,30,8,3,0,11,17,4,0,21,493,247,0,740
10,State,Jammu & Kashmir,2018,47,69,0,116,11,21,0,32,24,20,0,44,31,49,0,80,25,11,0,36,0,0,0,0,4,1,0,5,0,0,0,0,13,4,0,17,155,175,0,330
11,State,Jharkhand,2018,31,19,0,50,86,30,0,116,119,40,0,159,379,202,0,581,259,108,0,367,16,4,0,20,13,3,0,16,0,0,0,0,6,2,0,8,909,408,0,1317
12,State,Karnataka,2018,1054,503,0,1557,1799,689,1,2489,1917,652,1,2570,2017,700,0,2717,1035,398,1,1434,88,16,0,104,311,143,0,454,30,10,0,40,164,32,0,196,8415,3143,3,11561
13,State,Kerala,2018,88,26,0,114,838,249,0,1087,1378,344,0,1722,2577,718,0,3295,1123,354,0,1477,107,28,0,135,158,110,0,268,26,29,0,55,69,15,0,84,6364,1873,0,8237
14,State,Madhya Pradesh,2018,1332,760,1,2093,1570,964,0,2534,1657,960,0,2617,1636,884,0,2520,893,618,0,1511,25,8,0,33,213,114,0,327,1,0,0,1,99,40,0,139,7426,4348,1,11775
15,State,Maharashtra,2018,1063,478,0,1541,1983,707,1,2691,2890,917,0,3807,4145,1323,0,5468,2525,823,0,3348,130,43,0,173,475,99,0,574,13,5,0,18,273,79,0,352,13497,4474,1,17972
16,State,Manipur,2018,0,1,0,1,0,0,0,0,7,4,0,11,20,12,0,32,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,35,17,0,52
17,State,Meghalaya,2018,24,4,0,28,21,5,0,26,23,11,0,34,28,6,0,34,19,5,0,24,2,1,0,3,5,1,0,6,0,0,0,0,29,5,0,34,151,38,0,189
18,State,Mizoram,2018,0,0,0,0,12,3,0,15,31,4,0,35,20,3,0,23,1,1,0,2,3,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,67,12,0,79
19,State,Nagaland,2018,4,1,0,5,8,0,0,8,4,4,0,8,5,1,0,6,4,0,0,4,0,0,0,0,3,0,0,3,0,0,0,0,2,0,0,2,30,6,0,36
20,State,Odisha,2018,39,48,0,87,127,63,0,190,119,56,0,175,189,165,0,354,1534,1792,0,3326,2,0,0,2,25,3,0,28,0,0,0,0,272,158,0,430,2307,2285,0,4592
21,State,Punjab,2018,282,81,1,364,156,43,0,199,227,42,0,269,317,89,0,406,214,66,0,280,19,6,0,25,51,21,0,72,12,6,0,18,77,4,0,81,1355,358,1,1714
22,State,Rajasthan,2018,418,271,0,689,621,291,0,912,614,241,0,855,652,221,1,874,330,99,0,429,48,16,0,64,128,34,0,162,10,6,0,16,267,65,0,332,3088,1244,1,4333
23,State,Sikkim,2018,16,6,0,22,37,17,0,54,43,9,0,52,13,8,0,21,10,3,0,13,0,0,0,0,3,1,0,4,1,0,0,1,20,12,0,32,143,56,0,199
24,State,Tamil Nadu,2018,1222,661,0,1883,1415,715,0,2130,2116,916,2,3034,2176,1023,0,3199,1330,892,0,2222,273,81,0,354,520,347,0,867,89,48,0,137,38,32,0,70,9179,4715,2,13896
25,State,Telangana,2018,1747,897,0,2644,866,368,0,1234,774,276,0,1050,923,353,0,1276,674,220,0,894,90,31,0,121,206,58,0,264,16,8,0,24,316,22,0,338,5612,2233,0,7845
26,State,Tripura,2018,10,4,0,14,171,101,0,272,179,65,0,244,90,47,0,137,25,8,0,33,10,1,0,11,5,1,0,6,2,0,0,2,1,0,0,1,493,227,0,720
27,State,Uttar Pradesh,2018,444,306,0,750,373,265,0,638,481,334,0,815,508,416,0,924,505,359,0,864,36,12,0,48,168,75,0,243,3,9,0,12,373,182,0,555,2891,1958,0,4849
28,State,Uttarakhand,2018,7,9,0,16,19,12,0,31,65,26,0,91,100,63,0,163,37,31,0,68,2,1,0,3,3,4,0,7,0,0,0,0,16,26,0,42,249,172,0,421
29,State,West Bengal,2018,425,350,0,775,1595,1026,0,2621,1494,985,0,2479,1494,1062,0,2556,777,540,0,1317,29,24,0,53,154,80,0,234,12,7,0,19,1850,1351,0,3201,7830,5425,0,13255
State,State,Total (States),2018,10944,5890,3,16837,15446,7282,2,22730,18245,7547,4,25796,21474,9055,1,30530,13817,7327,1,21145,1084,320,0,1404,3029,1285,0,4314,279,149,0,428,5318,2525,0,7843,89636,41380,11,131027
30,Union Territory,A & N Islands,2018,10,10,0,20,32,13,0,45,24,7,0,31,20,8,0,28,15,9,0,24,1,0,0,1,4,4,0,8,0,0,0,0,4,3,0,7,110,54,0,164
31,Union Territory,Chandigarh,2018,3,0,0,3,11,2,0,13,24,14,0,38,44,12,0,56,23,11,0,34,0,0,0,0,15,1,0,16,0,0,0,0,0,0,0,0,120,40,0,160
34,Union Territory,Delhi (UT),2018,76,46,0,122,126,66,0,192,249,107,0,356,789,276,0,1065,331,190,0,521,29,4,0,33,79,15,0,94,1,1,0,2,99,42,0,141,1779,747,0,2526
35,Union Territory,Lakshadweep,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,3
36,Union Territory,Puducherry,2018,18,4,0,22,38,5,0,43,12,2,0,14,40,3,0,43,220,102,0,322,35,2,0,37,0,0,0,0,0,0,0,0,11,8,0,19,374,126,0,500
Union Territory,Union Territory,Total (UTs),2018,116,73,0,189,220,98,0,318,323,133,0,456,916,311,0,1227,617,314,0,931,67,6,0,73,101,22,0,123,1,1,0,2,117,53,0,170,2478,1011,0,3489
Total (All India),Total (All India),Total (All India),2018,11060,5963,3,17026,15666,7380,2,23048,18568,7680,4,26252,22390,9366,1,31757,14434,7641,1,22076,1151,326,0,1477,3130,1307,0,4437,280,150,0,430,5435,2578,0,8013,92114,42391,11,134516
1,State,ANDHRA PRADESH,2019,1199,501,0,1700,916,321,0,1237,748,257,0,1005,838,313,0,1151,451,206,0,657,80,9,0,89,293,98,0,391,17,8,0,25,198,12,0,210,4740,1725,0,6465
2,State,ARUNACHAL PRADESH,2019,3,0,0,3,7,2,0,9,21,5,0,26,17,11,0,28,19,6,0,25,0,0,0,0,2,1,0,3,0,0,0,0,12,6,0,18,81,31,0,112
3,State,ASSAM,2019,338,161,0,499,407,194,0,601,313,163,0,476,423,123,0,546,142,39,0,181,1,0,0,1,41,7,0,48,2,1,0,3,12,3,0,15,1679,691,0,2370
4,State,BIHAR,2019,49,45,0,94,27,29,0,56,65,43,0,108,150,76,0,226,72,42,0,114,0,0,0,0,22,9,0,31,10,0,0,10,0,2,0,2,395,246,0,641
5,State,CHHATTISGARH,2019,538,300,0,838,1005,382,0,1387,1135,404,0,1539,873,303,0,1176,526,169,0,695,33,8,0,41,110,33,0,143,3,0,0,3,1297,510,0,1807,5520,2109,0,7629
6,State,GOA,2019,14,9,0,23,14,8,0,22,44,11,0,55,63,19,0,82,36,10,0,46,0,0,0,0,22,0,0,22,1,0,0,1,7,1,0,8,201,58,0,259
7,State,GUJARAT,2019,519,351,0,870,865,523,1,1389,1203,611,0,1814,1286,556,0,1842,852,340,0,1192,48,10,0,58,188,49,0,237,6,1,0,7,201,45,0,246,5168,2486,1,7655
8,State,HARYANA,2019,453,161,0,614,454,125,0,579,515,161,0,676,774,179,0,953,541,105,0,646,77,20,0,97,105,23,0,128,8,0,0,8,370,120,0,490,3297,894,0,4191
9,State,HIMACHAL PRADESH,2019,33,15,0,48,42,26,0,68,70,33,0,103,128,63,0,191,80,47,0,127,9,4,0,13,11,17,0,28,4,2,0,6,0,0,0,0,377,207,0,584
10,State,JAMMU & KASHMIR,2019,33,35,0,68,14,14,0,28,27,18,0,45,49,44,0,93,18,11,0,29,0,0,0,0,0,1,0,1,0,0,0,0,16,4,0,20,157,127,0,284
11,State,JHARKHAND,2019,98,73,0,171,95,44,0,139,166,69,0,235,484,276,0,760,182,94,0,276,18,13,0,31,17,8,0,25,0,0,0,0,6,3,0,9,1066,580,0,1646
12,State,KARNATAKA,2019,967,416,0,1383,1678,536,1,2215,1946,580,0,2526,2153,648,0,2801,1055,410,1,1466,116,61,0,177,352,173,0,525,26,14,0,40,120,35,0,155,8413,2873,2,11288
13,State,KERALA,2019,109,62,0,171,985,319,0,1304,1383,359,0,1742,2736,649,0,3385,1066,364,0,1430,121,16,0,137,202,98,0,300,8,3,0,11,58,18,0,76,6668,1888,0,8556
14,State,MADHYA PRADESH,2019,1290,852,0,2142,1564,833,2,2399,1895,955,0,2850,1590,860,0,2450,1233,624,0,1857,47,18,0,65,243,105,0,348,2,4,0,6,243,97,0,340,8107,4348,2,12457
15,State,MAHARASHTRA,2019,1029,442,0,1471,2039,613,0,2652,2989,874,0,3863,4358,1344,2,5704,3005,892,0,3897,202,33,0,235,622,183,0,805,19,4,0,23,203,63,0,266,14466,4448,2,18916
16,State,MANIPUR,2019,2,0,0,2,2,0,0,2,5,5,0,10,16,11,0,27,9,5,0,14,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,2,36,22,0,58
