Sl. No.,Category - (Col.2),State/UT/City,Below 14 years - Male,Below 14 years - Female,Below 14 years - Transgender,Below 14 years - Total,14 and Above - Below 18 years - Male,14 and Above - Below 18 years - Female,14 and Above - Below 18 years - Transgender,14 and Above - Below 18 years - Total,18 and Above - Below 30 years - Male,18 and Above - Below 30 years - Female,18 and Above - Below 30 years - Transgender,18 and Above - Below 30 years - Total,30 and Above - Below 45 years - Male,30 and Above - Below 45 years - Female,30 and Above - Below 45 years - Transgender,30 and Above - Below 45 years - Total,45 and Above - Below 60 years - Male,45 and Above - Below 60 years - Female,45 and Above - Below 60 years - Transgender,45 and Above - Below 60 years - Total,60 years & Above - Male,60 years & Above - Female,60 years & Above - Transgender,60 years & Above - Total,Total - Male,Total - Female,Total - Transgender,Total - Total
49,City,Dhanbad,2,0,0,2,9,3,0,12,97,10,0,107,21,8,0,29,18,7,0,25,9,5,0,14,156,33,0,189
50,City,Durg Bhilainagar,20,7,0,27,8,3,0,11,103,15,0,118,135,36,0,171,168,27,0,195,96,42,0,138,530,130,0,660
51,City,Faridabad,19,7,0,26,9,13,0,22,603,138,0,741,182,34,0,216,120,22,0,142,33,9,0,42,966,223,0,1189
52,City,Ghaziabad,10,3,0,13,14,5,0,19,170,25,0,195,164,32,0,196,92,11,0,103,45,7,0,52,495,83,0,578
53,City,Gwalior,9,6,0,15,17,1,0,18,82,21,0,103,80,8,0,88,48,9,0,57,13,7,0,20,249,52,0,301
54,City,Hyderabad,29,0,0,29,110,11,0,121,217,31,0,248,264,53,0,317,153,30,0,183,53,1,0,54,826,126,0,952
55,City,Indore,46,22,0,68,34,8,0,42,246,75,0,321,298,51,0,349,232,30,0,262,91,20,0,111,947,206,0,1153
56,City,Jabalpur,0,0,0,0,65,0,0,65,65,20,0,85,119,14,0,133,151,7,0,158,219,95,0,314,619,136,0,755
57,City,Jaipur,53,36,0,89,84,25,0,109,756,143,0,899,793,134,0,927,521,62,0,583,186,39,0,225,2393,439,0,2832
58,City,Jamshedpur,11,7,0,18,30,6,0,36,72,28,0,100,86,29,0,115,61,17,0,78,19,9,0,28,279,96,0,375
59,City,Jodhpur,12,4,0,16,42,12,0,54,249,50,0,299,320,61,0,381,196,29,0,225,70,17,0,87,889,173,0,1062
60,City,Kannur,3,0,0,3,3,1,0,4,33,2,0,35,36,2,0,38,58,5,0,63,42,12,0,54,175,22,0,197
61,City,Kanpur,22,3,0,25,110,12,0,122,347,31,0,378,430,79,0,509,425,96,0,521,139,30,0,169,1473,251,0,1724
62,City,Kochi,3,1,0,4,7,6,0,13,73,13,0,86,120,19,0,139,145,26,0,171,79,22,0,101,427,87,0,514
63,City,Kolkata,11,7,0,18,101,25,0,126,98,57,0,155,88,51,0,139,111,39,0,150,93,53,0,146,502,232,0,734
64,City,Kollam,17,2,0,19,13,3,0,16,91,7,0,98,115,13,0,128,166,15,0,181,105,23,0,128,507,63,0,570
65,City,Kota,7,2,0,9,21,5,0,26,101,11,0,112,160,24,0,184,106,17,0,123,33,2,0,35,428,61,0,489
66,City,Kozhikode,16,10,0,26,5,2,0,7,64,12,0,76,68,14,0,82,123,25,0,148,94,35,0,129,370,98,0,468
67,City,Lucknow,18,6,0,24,25,7,0,32,247,30,0,277,212,39,0,251,82,20,0,102,23,3,0,26,607,105,0,712
68,City,Ludhiana,19,15,0,34,9,7,0,16,168,24,0,192,297,45,0,342,226,23,0,249,76,7,0,83,795,121,0,916
69,City,Madurai,13,6,0,19,10,3,0,13,56,11,0,67,89,11,0,100,91,27,0,118,63,26,0,89,322,84,0,406
70,City,Malappuram,10,8,0,18,9,2,0,11,52,6,0,58,42,10,0,52,65,12,0,77,38,16,0,54,216,54,0,270
71,City,Meerut,23,1,0,24,44,3,0,47,67,4,0,71,47,4,0,51,24,3,0,27,18,0,0,18,223,15,0,238
72,City,Mumbai,327,289,1,617,150,105,0,255,1026,312,0,1338,2028,426,0,2454,2215,504,0,2719,1442,591,1,2034,7188,2227,2,9417
73,City,Nagpur,27,20,0,47,34,14,0,48,334,56,0,390,615,93,0,708,586,97,0,683,426,92,0,518,2022,372,0,2394
74,City,Nasik,23,17,0,40,14,10,0,24,133,35,0,168,287,50,0,337,333,45,0,378,155,53,0,208,945,210,0,1155
75,City,Patna,1,2,0,3,16,10,0,26,142,15,0,157,156,8,0,164,90,3,0,93,23,7,0,30,428,45,0,473
76,City,Pune,157,149,0,306,55,34,0,89,519,110,0,629,1053,198,0,1251,830,204,0,1034,513,178,0,691,3127,873,0,4000
77,City,Raipur,48,41,0,89,24,7,0,31,217,61,0,278,250,42,0,292,201,42,0,243,105,22,0,127,845,215,0,1060
78,City,Rajkot,17,4,0,21,72,15,0,87,293,92,0,385,256,124,0,380,316,45,0,361,133,20,0,153,1087,300,0,1387
79,City,Ranchi,4,3,0,7,20,3,0,23,164,14,0,178,104,23,0,127,50,22,0,72,75,31,0,106,417,96,0,513
80,City,Srinagar,1,0,0,1,2,4,0,6,44,8,0,52,59,6,0,65,32,1,0,33,3,2,0,5,141,21,0,162
81,City,Surat,86,34,0,120,38,15,0,53,359,66,0,425,577,105,0,682,503,89,0,592,209,67,0,276,1772,376,0,2148
82,City,Thiruvananthapuram,9,7,0,16,30,13,0,43,69,13,0,82,116,19,0,135,149,33,0,182,140,38,0,178,513,123,0,636
83,City,Thrissur,28,10,0,38,8,2,0,10,80,9,0,89,91,14,0,105,187,39,0,226,185,40,0,225,579,114,0,693
84,City,Tiruchirappalli,0,0,0,0,3,0,0,3,23,5,0,28,30,11,0,41,18,11,0,29,21,3,0,24,95,30,0,125
85,City,Vadodara,10,3,0,13,12,6,0,18,139,25,0,164,242,37,0,279,215,37,0,252,65,19,0,84,683,127,0,810
86,City,Varanasi,0,0,0,0,3,0,0,3,44,6,0,50,49,22,0,71,81,24,0,105,49,16,0,65,226,68,0,294
87,City,Vasai Virar,51,48,0,99,20,10,0,30,146,46,0,192,320,77,0,397,229,52,0,281,94,39,0,133,860,272,0,1132
88,City,Vijayawada,6,4,0,10,29,8,0,37,90,22,0,112,142,24,0,166,96,6,0,102,87,17,0,104,450,81,0,531
89,City,Vishakhapatnam,12,6,0,18,26,3,0,29,152,26,0,178,197,24,0,221,168,22,0,190,76,18,0,94,631,99,0,730
City,City,Total (Cities),1632,993,1,2626,1938,563,0,2501,11268,2391,3,13662,15021,2854,1,17876,13036,2429,0,15465,7000,2214,1,9215,49895,11444,6,61345
