Sl. No.,Category,State/UT/City,Below 14 years - Male,Below 14 years - Female,Below 14 years - Transgender,Below 14 years - Total,14 and Above - Below 18 years - Male,14 and Above - Below 18 years - Female,14 and Above - Below 18 years - Transgender,14 and Above - Below 18 years - Total,18 and Above - Below 30 years - Male,18 and Above - Below 30 years - Female,18 and Above - Below 30 years - Transgender,18 and Above - Below 30 years - Total,30 and Above - Below 45 years - Male,30 and Above - Below 45 years - Female,30 and Above - Below 45 years - Transgender,30 and Above - Below 45 years - Total,45 and Above - Below 60 years - Male,45 and Above - Below 60 years - Female,45 and Above - Below 60 years - Transgender,45 and Above - Below 60 years - Total,60 years & Above - Male,60 years & Above - Female,60 years & Above - Transgender,60 years & Above - Total,Total - Male,Total - Female,Total - Transgender,Total
53,City,GWALIOR,4,2,0,6,14,7,0,21,86,16,0,102,82,34,0,116,45,14,0,59,20,4,0,24,251,77,0,328
54,City,HYDERABAD,18,14,0,32,41,19,0,60,332,78,0,410,536,67,0,603,309,45,0,354,100,27,0,127,1336,250,0,1586
55,City,INDORE,46,12,0,58,28,6,0,34,286,62,0,348,284,55,0,339,204,57,0,261,35,13,0,48,883,205,0,1088
56,City,JABALPUR,11,3,0,14,201,53,0,254,181,84,0,265,85,41,0,126,17,9,0,26,5,0,0,5,500,190,0,690
57,City,JAIPUR,89,45,0,134,126,24,0,150,743,153,0,896,917,147,0,1064,592,79,0,671,191,32,0,223,2658,480,0,3138
58,City,JAMSHEDPUR,14,8,0,22,16,4,0,20,70,22,0,92,101,17,0,118,65,13,0,78,21,6,0,27,287,70,0,357
59,City,JODHPUR,14,1,0,15,50,3,0,53,178,36,0,214,225,51,0,276,138,29,0,167,17,0,0,17,622,120,0,742
60,City,KANNUR,3,0,0,3,3,2,0,5,33,0,0,33,51,7,0,58,49,15,0,64,55,7,0,62,194,31,0,225
61,City,KANPUR,21,7,0,28,121,39,0,160,461,169,0,630,532,147,0,679,283,62,0,345,120,18,0,138,1538,442,0,1980
62,City,KOCHI,4,3,0,7,22,7,0,29,78,8,0,86,87,12,0,99,156,16,0,172,74,18,0,92,421,64,0,485
63,City,KOLKATA,12,6,0,18,56,16,0,72,125,34,0,159,312,16,0,328,163,20,0,183,22,14,0,36,690,106,0,796
64,City,KOLLAM,13,5,0,18,29,5,0,34,75,7,0,82,79,20,0,99,102,22,0,124,93,32,0,125,391,91,0,482
65,City,KOTA,6,2,0,8,3,0,0,3,188,42,0,230,170,41,0,211,64,4,0,68,8,0,0,8,439,89,0,528
