Sl. No.,Category,State/UT,Un-Married - Male,Un-Married - Female,Un-Married - Transgender,Un-Married - Total,Married - Male,Married - Female,Married - Transgender,Married - Total,Widowed/Widower - Male,Widowed/Widower - Female,Widowed/Widower - Transgender,Widowed/Widower - Total,Divorcee - Male,Divorcee - Female,Divorcee - Transgender,Divorcee - Total,Separated - Male,Separated - Female,Separated - Transgender,Separated - Total,Others - Male,Others - Female,Others - Transgender,Others - Total,Status Not Known - Male,Status Not Known - Female,Status Not Known - Transgender,Status Not Known - Total,Total - Male,Total - Female,Total - Transgender,Total
27,State,Uttar Pradesh,526,329,0,855,1369,1048,0,2417,23,37,0,60,13,19,0,32,15,18,0,33,23,30,0,53,62,6,0,68,2031,1487,0,3518
28,State,Uttarakhand,24,14,0,38,64,39,0,103,4,0,0,4,3,0,0,3,4,0,0,4,0,0,0,0,0,0,0,0,99,53,0,152
29,State,West Bengal,1771,1093,0,2864,4125,3312,0,7437,46,151,0,197,30,41,0,71,127,49,0,176,299,173,0,472,1396,838,0,2234,7794,5657,0,13451
State,State,Total (States),17833,9905,12,27750,59581,26463,0,86044,1155,1169,0,2324,699,308,0,1007,910,321,1,1232,2738,1290,0,4028,3905,1638,1,5544,86821,41094,14,127929
30,Union Territory,A & N Islands,24,16,0,40,79,26,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,104,42,0,146
31,Union Territory,Chandigarh,22,13,0,35,66,19,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,91,32,0,123
32,Union Territory,D & N Haveli,9,7,0,16,21,13,0,34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,4,35,20,0,55
33,Union Territory,Daman & Diu,11,11,0,22,6,8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,19,0,36
34,Union Territory,Delhi (UT),395,217,0,612,813,406,0,1219,5,5,0,10,5,1,0,6,22,1,0,23,18,7,0,25,223,37,0,260,1481,674,0,2155
35,Union Territory,Lakshadweep,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3
36,Union Territory,Puducherry,67,16,0,83,347,93,0,440,3,5,0,8,1,0,0,1,7,0,0,7,15,0,0,15,7,0,0,7,447,114,0,561
Union Territory,Union Territory,Total (UTs),528,280,0,808,1333,567,0,1900,8,10,0,18,6,1,0,7,29,1,0,30,34,7,0,41,238,37,0,275,2176,903,0,3079
Total (All India),Total (All India),Total (All India),18361,10185,12,28558,60914,27030,0,87944,1163,1179,0,2342,705,309,0,1014,939,322,1,1262,2772,1297,0,4069,4143,1675,1,5819,88997,41997,14,131008
